verbos,presente_eu,presente_tu,presente_ele,presente_nós,presente_vós,presente_eles,passado_eu,passado_tu,passado_ele,passado_nós,passado_vós,passado_eles,futuro_eu,futuro_tu,futuro_ele,futuro_nós,futuro_vós,futuro_eles
amar,amo,amas,ama,amamos,amais,amam,amei,amaste,amou,amamos,amastes,amaram,amarei,amarás,amará,amaremos,amareis,amarão
comer,como,comes,come,comemos,comeis,comem,comi,comeste,comeu,comemos,comestes,comeram,comerei,comerás,comerá,comeremos,comereis,comerão
partir,parto,partes,parte,partimos,partis,partem,parti,partiste,partiu,partimos,partistes,partiram,partirei,partirás,partirá,partiremos,partireis,partirão
cantar,canto,cantas,canta,cantamos,cantais,cantam,cantei,cantaste,cantou,cantamos,cantastes,cantaram,cantarei,cantarás,cantará,cantaremos,cantareis,cantarão
estudar,estudo,estudas,estuda,estudamos,estudais,estudam,estudei,estudaste,estudou,estudamos,estudastes,estudaram,estudarei,estudarás,estudará,estudaremos,estudareis,estudarão
falar,falo,falas,fala,falamos,falais,falam,falei,falaste,falou,falamos,falastes,falaram,falarei,falarás,falará,falaremos,falareis,falarão
vender,vendo,vendes,vende,vendemos,vendeis,vendem,vendi,vendeste,vendeu,vendemos,vendestes,venderam,venderei,venderás,venderá,venderemos,vendereis,venderão
correr,corro,corres,corre,corremos,correis,correm,corri,correste,correu,corremos,correstes,correram,correrei,correrás,correrá,correremos,correreis,correrão
beber,bebo,bebes,bebe,bebemos,bebeis,bebem,bebi,bebeste,bebeu,bebemos,bebestes,beberam,beberei,beberás,beberá,beberemos,bebereis,beberão
andar,ando,andas,anda,andamos,andais,andam,andei,andaste,andou,andamos,andastes,andaram,andarei,andarás,andará,andaremos,andareis,andarão
escrever,escrevo,escreves,escreve,escrevemos,escreveis,escrevem,escrevi,escreveste,escreveu,escrevemos,escrevestes,escreveram,escreverei,escreverás,escreverá,escreveremos,escrevereis,escreverão
agir,ajo,ages,age,agimos,agis,agem,agi,agiste,agiu,agimos,agistes,agiram,agirei,agirás,agirá,agiremos,agireis,agirão
gostar,gosto,gostas,gosta,gostamos,gostais,gostam,gostei,gostaste,gostou,gostamos,gostastes,gostaram,gostarei,gostarás,gostará,gostaremos,gostareis,gostarão
chegar,chego,chegas,chega,chegamos,chegais,chegam,cheguei,chegaste,chegou,chegamos,chegastes,chegaram,chegarei,chegarás,chegará,chegaremos,chegareis,chegarão
brincar,brinco,brincas,brinca,brincamos,brincais,brincam,brincei,brincaste,brincou,brincamos,brincastes,brincaram,brincarei,brincarás,brincará,brincaremos,brincareis,brincarão
ficar,fico,ficas,fica,ficamos,ficais,ficam,fiquei,ficaste,ficou,ficamos,ficastes,ficaram,ficarei,ficarás,ficará,ficaremos,ficareis,ficarão
corrigir,corrijo,corriges,corrige,corrigimos,corrigis,corrigem,corrigi,corrigiste,corrigiu,corrigimos,corrigistes,corrigiram,corrigirei,corrigirás,corrigirá,corrigiremos,corrigireis,corrigirão
abrir,abro,abres,abre,abrimos,abris,abrem,abri,abriste,abriu,abrimos,abristes,abriram,abrirei,abrirás,abrirá,abriremos,abrireis,abrirão
jogar,jogo,jogas,joga,jogamos,jogais,jogam,joguei,jogaste,jogou,jogamos,jogastes,jogaram,jogarei,jogarás,jogará,jogaremos,jogareis,jogarão
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,brincei,,
,,,,,,,,,,,,,,,,fiquei,,